atomic_ea_max,atomic_en_allredroch_sum,atomic_radius_max,atomic_radius_calculated_max,bulk_mod_max,covalent_rad_emp_max,covalent_rad_emp_sum,electrical_resist_max,rigidity_mod_max,van_der_waals_rad_mean,entalpia_oxides_min,entropia_oxides_min,Z_sum,phase_disambiguated
4.56,1.1965,70.0,88.0,55.0,68.0,154.55,20.0,22.0,30.7375,-472374.45,-92.6665,30.1,perovskite
4.332,1.1953,70.0,88.0,55.0,68.0,154.01,20.0,22.0,30.76625,-472374.45,-92.6665,29.895,perovskite
15.20304,1.291925,32.5065,34.3402,51.67699999999999,28.1723,125.6918,21.671,26.8387,37.0074,-598013.7121599999,-98.0117651,58.99999999999999,fluorite
23.68,1.66,28.0,33.2,36.0,27.8,130.0,28.8,23.0,48.48,-450821.78,-109.7254,26.4,spinel
24.0,1.35834,97.5,15.3716,16.668,84.5,147.9448,30.75,10.649,38.53448571428572,-1793682.4,-293.9765,41.019,perovskite
24.0,1.35681,97.5,15.0894,16.362,84.5,147.8632,30.75,10.4535,38.51287142857143,-1793682.4,-293.9765,40.9085,perovskite
24.0,1.35537,97.5,14.8238,16.074,84.5,147.7864,30.75,10.2695,38.49252857142858,-1793682.4,-293.9765,40.8045,perovskite
24.0048,1.353891,97.5195,14.5582,15.786,84.51689999999999,147.7147,30.75615,10.0855,38.47322857142858,-1794041.13648,-294.0352953,40.7049,perovskite
22.4,1.644,28.0,31.2,36.0,26.2,124.2,2.0,16.4,47.52,-670289.8400000001,-125.3474,24.8,spinel
23.68,1.618,30.0,30.4,36.0,27.6,129.2,1.44,15.2,48.32000000000001,-240601.72,-77.1958,25.2,rock salt
22.4,1.65,28.0,33.2,36.0,27.8,127.6,28.8,23.0,48.56,-450821.78,-109.7254,26.0,spinel
9.12,1.224,70.0,88.0,55.0,68.0,154.3,20.0,22.0,39.23333333333333,-472374.45,-92.6665,33.59999999999999,perovskite
23.68,1.588,30.0,32.2,36.0,27.8,132.8,28.8,15.0,48.52,-380885.64,-102.2912,24.6,rock salt
22.4,1.576,28.0,35.2,36.0,27.2,125.2,8.0,16.4,47.8,-670289.8400000001,-125.3474,23.2,spinel
25.0,1.083,92.5,23.8,11.0,16.9,16.9,37.0,7.0,48.0,-544961.1,-106.0585,59.9,fluorite
25.0,1.079,92.5,23.8,11.0,16.9,16.9,37.0,7.0,47.88333333333333,-544961.1,-106.0585,60.3,fluorite
25.0,1.078,92.5,23.8,11.0,16.9,16.9,37.0,7.0,47.91666666666666,-544961.1,-106.0585,60.5,fluorite
25.0,1.082,92.5,23.3,11.0,16.9,16.9,37.0,7.0,47.78333333333334,-544961.1,-106.0585,60.7,fluorite
25.0,1.082,92.5,23.8,11.0,16.9,16.9,37.0,7.0,47.65,-544961.1,-106.0585,60.9,fluorite
12.5,1.34,50.0,61.75,18.0,48.0,111.8,17.5,11.5,37.91428571428571,-904814.35,-149.828,37.25,perovskite
23.68,1.618,30.0,30.4,36.0,27.6,129.2,1.44,15.2,48.32000000000001,-240601.72,-77.1958,25.2,rock salt
23.68,1.7,28.0,31.2,36.0,27.6,128.2,2.0,16.4,48.04000000000001,-330305.98,-109.7254,28.0,rock salt
23.68,1.614,30.0,31.2,36.0,27.6,128.0,2.0,16.4,48.52,-330305.98,-109.7254,24.4,rock salt
22.4,1.596,30.0,31.2,36.0,26.2,126.6,2.0,16.4,48.56,-330305.98,-109.7254,24.6,rock salt
23.68,1.596,30.0,31.2,36.0,27.6,130.0,2.0,16.4,48.48,-330305.98,-109.7254,24.8,rock salt
23.68,1.606,30.0,31.2,36.0,27.6,129.0,2.0,16.4,48.48,-330305.98,-109.7254,25.0,rock salt
23.68,1.65,28.0,33.2,36.0,27.8,131.0,28.8,23.0,48.48,-450821.78,-109.7254,26.2,spinel
19.73728,1.593652,25.005,25.3384,30.006,23.0046,127.3588,1.20024,12.6692,39.81351666666666,-558686.58164,-104.4770579,23.16666666666666,multiphase
6.0,1.17,70.0,88.0,55.0,68.0,159.625,20.0,22.0,53.275,-472374.45,-92.6665,32.375,perovskite
6.25,1.17,70.0,88.0,55.0,68.0,138.5,20.0,22.0,53.025,-472374.45,-92.6665,32.5,perovskite
10.0,1.104,39.0,47.6,7.600000000000001,33.8,63.40000000000001,18.8,6.600000000000001,56.8,-729444.5800000001,-118.1672,55.4,fluorite
22.496,1.5891,28.5,28.88,34.2,26.22,131.44,1.368,14.44,40.43666666666666,-228571.634,-73.33601,24.94,rock salt
21.312,1.5602,27.0,27.36,32.4,24.84,133.68,1.296,13.68,40.60666666666666,-216541.548,-69.47622,24.68,rock salt
31.85,1.394,67.5,76.0,90.0,63.0,96.1,13.1,37.5,43.9,-455020.45,-192.9895,41.7,perovskite
5.0,1.182,70.0,88.0,55.0,68.0,104.1,20.0,22.0,44.61666666666667,-472374.45,-92.6665,39.0,perovskite
10.0,1.11,37.0,47.6,8.200000000000001,32.4,62.0,18.8,6.600000000000001,55.88,-762119.38,-119.2048,51.8,fluorite
